NAME, SERIES
Ahiru / Princess Tutu, Princess Tutu
Ai Nanasaki, Amagami
Airi , Queens Blade
Akeno Himejima, High School DxD
Akua Shuzen, Rosario+Vampire
Amakusa Shino, Seitokai Yakuindomo
Amu Hinamori, Shugo Chara!
Anna Nishikinomiya, Shimoneta
Anzai Chiyomi, girls and panzar
Aqua, konosuba
Asato Tsuzuki , Descendants of Darkness
BB ビィビィ Byibyi,Fate 
Beelzebub , jou no Okinimesu mama
Bianca , pokemon
Celica Ayatsuki Mercury, blaze Blue
Chaton , Mar 
Chun-Li, Street Fighter
Ciel , Tsukihime
Crona, soul eater
Cyan Hijirikawa , show by rock
Dolce, Rune Factory 4
Edward Elric, Fullmetal Alchemist
Erza , Fairy Tail
Etna , Disgaea 
Fujimura Taiga, Fate
Futayo Honda
Hagiwara Yukiho, iDOLM@STER
Hanako Ikezawa, Katawa Shoujo
Hashiri Nio
Hibiki , Symphogear
Hilda, Outlaw Star
Himari Noihara, Omamori Himari
Hime, Darling in the Franx
Himiko Toga, My Hero Academia
Hinagiku Katsura , Hayate Combat butler
Hisui, Tsukihime Type-moon
Homura Akemi, Madoka Magica
Hoshii Miki, iDOLM@STER
Hyun-ae, Analogue: A Hate Story
Itoshiki Nozomu, Sayonara Zetsubou Sensei 
Izayoi Sakuya, Touhou
Jin Sahyuk, The Novel's Extra
Johan , monster
Kagura , Azumanga Daioh
Kaiji , Tobaku Mokushiroku Kaiji
Kanbaru , Monogatari
Kanmi Toshiko/ Binkan-chan
Karamatsu Matsuno, Osomatsu-san
Katō Megumi Saekano
Kazanari Tsubasa, Symphogear
Lavina , Records of Agarest war
Len, typemoon
Lillie, Pokemon
Lum Invader, Urusei Yatsura
M4A1, Front Line Girls
Mai Kawakami, Musaigen no Phantom
Mai Natsume, BazBlue
Maka Albarn, Soul Eater
Makise Kurisu, "Steins;Gate"
Makoto Kikuchi, iDOLM@STER
Masato Hijirikawa
Mashiro Kurata 
Mazaki Anzu, Yu-Gi-Oh!
Miia , Monster Musume
Mimi Tasogare
Minami Shimada, Baka and test
Minatsu Shiina , Seitokai no Ichizon
Minori Kushieda, Toradora
Mizunashi Akari, Aria
Morgan/Female, Fire Emblem
Myskina Olga, One Piece
Najimi Ajimu/Anshin'in , Medaka Box
Natsuki Andou , Kitakubu
Natsume Tsuchimikado, Tokyo Ravens 
Neptune or Purple Heart, Hyperdimension Neptunia 
Nia Honjou, Date a Live
Noir Vino Cacao, Dog Days
Nono , Top wo Nerae 
Nozomi , Elfen Lied 
Ochako Uraraka, My Hero Academia
Orihara Izaya, Durarara
Pachira , Renkin 3-kyu Magical? Pokan
Pandora the Conjurer, Yu-Gi-Oh!
Phosphophyllite , Houseki No Kuni 
Pleinair Allaprima, Disgaea
Pony Tsunotori , MHA
Popura Poplar Taneshima, working!!
Prinz Eugen, Azur Lane
Q, The Money of Soul and Possibility Control
Ran, Touhou
Rias Grimory, High School DxD
Rikka KOUJIN, Dark Love OVA
Risty , Queens Blade
Ruri Gokou , Oreimo
Sakuya , Utawarerumono
Sanya V. Litvyak, Strike Witches 
Sawyer, Black Lagoon
Serizawa Katsuya, Mob psycho 100
Seto Kaiba , Yu-Gi-Oh!
Shinji Hirako, Bleach
Shino Kuribayashi, GATE
Shinobu Oshino, Monogatari
Shoebill, Kemono Friends
Sina , Pokemon
Sodachi Oikura , Monogatari
Stocking, Panty and Stocking with Garterbelt
Sumeragi Shion, GJ-bu
Teru Miyanaga, Saki
Tio Plato, The Legend of Heroes
Tomori Nao, Charlotte
Touko Fukawa, Danganronpa
Tsugumi Seishirou , Nisekoi: False Love
Tsukihi Araragi, Monogatari
Urabe Mikoto, Mysterious Girlfriend X
Watashi , Jinrui wa Suitai Shimashita
Wo , KanColle
Yuria Sekiguchi, Nichijou
Yuuki Yuuna, Yuki Yuna is a Hero
Yuuko Kanoe, Tasogare Otome x Amnesia
Yuzuriha Inori
kkll.Preciel, Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta
